topik	text
4	Korántsem előzmény nélkül határoztak így , ugyanis néhány órával korábban Wolfgang Schüssel a tárgyalásokat eddig övező homályt megtörve kijelentette : az új kormányban mindenekelőtt a pénzügyi tárrca vezetését szeretnék megkapni , vagy legalábbis független szakértőre bízni .
5	Mint ismert , az osztrák államfő mindent megtett a vörös-fekete koalíció megújításáért , és kizártnak tartja a külföldön szalonképtelennek tartott Jörg Haider vezette Szabadságpárt kormányra kerülését .
5	A helyzet kulcsa tehát a már eddig is több váratlan döntést meghozó Klestil államfő kezében volt .
5	Az ÖVP-vel folytatott tárgyalások megszakadása miatt nagyon csalódott , de a Néppárt mindig újabb követelésekkel állt elő és újabb akadályokat gördített a megállapodás elé .
2	A szociáldemokraták és a Néppárt közötti koalíció meghiúsulásával Ausztria kényes helyzet előtt áll .
2	"Az államfő megértette , hogy nem sikerült parlamenti többséggel rendelkező kormányt alakítanom "" jellemezte megbeszélésüket az SPÖ első embere ."
5	Van der Bellen ugyancsak a Néppártot tette felelőssé a tárgyalások megszakadásáért .
5	A befektetők túl hamar megjelentek a magyar piacon , hogy a pozícióharcban elfoglalják állásaikat - mondta Friedmann úr .
5	Antalffy Gábor , a Kereskedők és Vendéglátók Országos Érdekképviseleti Szövetségének ( KISOSZ ) titkára szerint a bevásárlóközpontok esetében három érdek ütközik .
4	Éles Károly úgy véli , egy módon lehet megtartani a pozíciót : rugalmas nyitva tartással ( az első üzletük hétkor nyit , az utolsó tízkor zár ) és speciális szolgáltatásokkal .
1	A mostani tajvani választások idején a kínai fenyegetések miatt a legfőbb kérdés az , hogy az Egyesült Államok meddig menne el Tajvan védelmében .
2	A dokumentum szerint három ilyen eset lehetséges : ha Tajvan kikiáltja függetlenségét , ha külföldi hatalom szállja meg , illetve ha a szigetország késlekedik megkezdeni a tárgyalásokat az újraegyesítésről .
4	"Az Egyesült Államok a tajvani demokráciát is támogatja , részben a kommunizmus "" feltartóztatása "" jegyében , részben , hogy üzenjen a kínai népnek : a demokráciában milyen jól lehet élni ."
5	Tajvani katonák a választás napjára készülnek Kína nem enged Kína már az előző , 1996-os tajvani elnökválasztáskor is nagyszabású hadgyakorlatot tartott a sziget közelében .
1	"A korábban Kuomintang-tag , most már független James Soong szerint Tajvan "" semmiféle katonai fenyegetést nem hajlandó akceptálni "" ."
5	A pekingi hatóságoknak rá kell jönniük , hogy a fenyegetéssel eltaszítják maguktól Tajvant , és így lehetetlen lesz a kapcsolatok normalizálása .
5	"Minden fél órában egymillió üzenet Duncan Campbell szerint az Echelon minden fél órában egymillió üzenetet szakít meg , és "" szűr át "" ."
4	Az Echelont eredetileg arra hozták létre , hogy a terrorizmus , a pénzmosás és a kábítószer-kereskedelem ellen hatékonyabban léphessenek fel az angolszász államok .
3	Az ÁSZ rámutat arra , hogy az MSZP a vizsgált időszakban több , használatában lévő ingatlan használati jogát szerződéssel - térítés nélkül - átengedte önkormányzatoknak vagy egyéb szervezeteknek , ami törvényellenes .
4	A megterhelés pedig Ljubimov szerint nem lesz nagyobb annál , mint amekkorát a politikai vezetők naponta elviselnek .
5	"Jelcint , ahogy elmondta , mindig is zavarták a hivatalos találkozók , "" fulladozott a diplomáciai keretek között "" , ebből eredően , amikor csak módja volt rá , felborította a diplomáciai protokollt , "" nyakkendő nélküli találkozókat "" részesített előnyben , illetve olyan megnyilvánulásai voltak a hivatalos rendezvényeken , amelyeket nem mindenki volt képes akkoriban teljes mértékben megérteni ."
4	Az amerikai gyógyszeripari cég Monsanto tudósai kedden bejelentették , hogy megfejtették a rizs genetikai kódját .
2	Búsi Lajos a védelmi bizottság elnöke a délben Tiszajenőn , Tiszavárkonyban és Vezsenyen elrendelt kitelepítésekkel kapcsolatban elmondta , hogy a lakosság nem veszi komolyan az intézkedéseket .
4	Ahmed Kadirov , csecsen mufti kijelentette , hogy kész arra , hogy a köztársaság vezetője legyen , ha erre vonatkozó ajánlatot kap Moszkvától .
4	"Ki akarom vezetni a népemet , abból a helyzetből , amelyikbe került , és képes is vagyok erre "" , - jelentette ki az újságíróknak Kadirov a Csecsenföld keleti részén levő Centorojban adott interjúban ."
10	Három rendőr súlyosan megsérült abban a balesetben , amely csütörtök este fél tizenegykor történt Budapesten a IV . kerületben a Váci úton .
8	A CNN felidézi , hogy a 79 éves katolikus egyházfő élete egyik nagy álmát váltotta valóra néhány héttel ezelőtt , amikor Jézus és Mózes nyomdokába lépve a Szentföldre zarándokolt .
8	A Vatikán a pápa és a papság , valamint a katolikus egyház tagjainak szoros közösségét A Szentatya nagycsütörtökön misét pontifikált , amelyen tizenkét papnak megmosta a lábát , s ezzel Jézus és a tizenkét apostol utolsó vacsorájára emlékeztette a hívőket .
8	János Pálnak azt a kijelentését , amely szerint a keresztényeknek , a zsidóknak és a muzulmánoknak együtt kell működniük .
3	Emiatt a cég maga is megsértené az előírásokat a fizetéskor - nyilatkozta Sár Csaba , a Blue Notes Rt. vezérigazgatója .
4	Az orosz államfő - akárcsak Jelcin - történelminek minősítette a beiktatás napját , mivel mint emlékeztetett rá , Oroszországban most történik először demokratikus hatalomváltás , törvényesen , békésen , ami a korszerű , demokratikus állam , a stabil hatalom ismérve .
4	Az orosz államfő szabad , virágzó , erős , gazdag és civilizált Oroszország építését ígérte , amelyre büszkék lehetnek polgárai , s amely külföldön is tiszteletet ébreszt .
3	Oszama bin Ladenaz FBI-nál a tíz legfontosabb körözött személy között tartják számon 1998 augusztusában több mint 200 ember meghalt és 4000 megsebesült , mikor Kenya fővárosában , Nairobiban felrobbantották az amerikai nagykövetséget .
4	A médiahatóság elnöke és tagjai VW Passat Comfortline 1,8 T típusú autókat kapnak , az igényelt felszereltségtől függően 6,6 és 7,1 millió közötti áron , amelyek árát a testület költségvetésének átcsoportosításával kívánják fedezni .
3	Harrison megfigyelőként szolgált az országban , és ő is a május elején elfogott ötszáz ENSZ-katona között volt .
3	Az államelnökről kiderült ugyan , hogy megvesztegették , de például a közlekedési miniszteri posztot betöltő Jichak Mordehai az elnökkel együtt volt kénytelen lemondani , miután három női beosztottja is szexuális zaklatással vádolta meg .
4	A hatnapos háború hőse Az arab-barát , mérsékeltnek tartott államférfi Izrael egyik legtekintélyesebb politikusa , a közel-keleti ország hetedik elnöke volt .
4	Peresz - a Reuters értesülései szerint - elfogadta a Munkapárt jelölését .
2	Botránysorozat Izraelben Az izraeli politikai elitet nem csupán Weizman elnök bukása rázta meg az utóbbi napokban .
4	A németeknek sikerült érvényesíteniük akaratukat , s jelöltjüket elfogadta végül a nemzetközi közösség , de Washingtonban megrökönyödtek azon a vehemencián , amellyel a berlini politikusok lobbiztak pártfogoltjuk mellett .
5	A kancellár zsörtölődik Mindennek kapcsán megfigyelők felhívják arra a figyelmet , hogy Gerhard Schröder német kancellár néhány éles megjegyzést tett nemrégiben az USA-ra .
2	"Több városrészt is lezárnak erre az időszakra Berlinben , amelyet a bulvárlapok csupán , "" jellemeznek , ahol , "" hirdetnek"
3	"Bár a román-francia állampolgárságú Adrian Costea pénzmosási ügyeiben az RTDP nyakig , "" , úgy tűnik az embereket inkább saját pénzük elvesztése , mint az állami pénzek külföldre csorgása"
5	Saját pénzünk jobban fáj A pénzügyi botrány a szavazók tömegets távolmaradása és a leadott szavazatok alapján a legnagyobb ellenzéki pártnak , a RTDP-nek kedvezett .
5	Sajtóértesülések szerint miatta vette kezdetét 1996 novemberében az az alvilági leszámolás-sorozat , amelynek első áldozata Prisztás József volt .
4	A két Korea vezető tisztségviselője szerdán arról tárgyal , hogy érdekképviseleti irodát nyitnak egymás fővárosában .
5	Azerbajdzsán például csak akkor vesz részt ebben , ha a központ csupán a tájékoztatási-elemzési és konzultatív tevékenységgel foglalkozna , Ukrajna pedig csak a saját jogalkalmazási térségén belül hajlandó erre .
4	A Human Genome Project nemzetközi konzorcium és az amerikai Celera Genomics cég egymástól függetlenül tíz éve dolgoznak a mintegy 80 ezer emberi gén szekventálásán .
4	Anjuna Beach-en napközben is nagyobb a nyugalom mint Baga-n , az itt lakó féligmeddig helyiek csak az árénykba merészkednek ki egy kis társasjátékra vagy táncpróbát tartani az esti mulatságra .
